8946.9,10540.6,8865.65,10986.9,8987.1,12272.25,12733.95,6790.55,16706.6,13342.65,14245.25,15930.7,16393.5,16736.65,19678.4,16046.2,15220.2,16872.15,15371.6,19757.65,19120.55,18555,19731.15,15853.75,18508.4,16710.95,16876.25,16261.8,14960.8,15547,15501,15541,15981.1,12535.95,13860.75,11400.95,13363.9,12877.55,16071.4,15057.6,12736.3,8881.4,9481.85,12809.5,11038.95,10386.05,12050.5
4811.25,4609.2,3543.5,4960.55,4652.2,6344.95,4895.2,3658.55,7875.25,6293.7,5882.45,6790.2,7150.6,7246.2,8519.7,7793,7045.25,6541.3,6671.3,7973.85,8173.4,7688.35,7995.2,7136.85,6772.5,7512.15,5451.15,7369.95,6783.6,5496.45,5577.45,6692.25,7046.2,5577.85,7072.5,5292.2,5547.15,6134.3,6978.8,6898.9,6113.75,4238.95,4522.75,6147.8,4809.55,4935.6,6417.55
3639.9,4016.05,3708.3,4204.85,4432.55,4264,4691.55,4552.7,7352.9,5990.3,6177.75,4644.4,7273.55,6363.15,8662.15,6927.65,6676.95,5714.25,6499.45,7251.3,7645.65,7509.3,8599.35,7626.6,6890.95,8084.55,6908.95,6692.35,7282.75,5361.9,7307.9,5934.9,6750.9,6800.5,5282.45,6288.7,5664,5825.55,6122,6579.4,5891.15,3884.4,4059.4,5029.6,3734.4,3839.05,5279.4
4219.2,4765.4,3395.6,4883.65,4416.25,5583,4546.15,2664.95,7401.55,6586.7,6253.9,5936.05,7092.75,7539,8753.45,7450.85,7074.4,6268.95,5533.7,8058.05,8604.35,7686.35,8613.25,7535.5,7480.7,8194.05,6918.55,7342.5,7091.3,6247.7,7434.7,7250.55,6993.6,6170.65,6335.35,6093.9,5891.75,6196.45,6668.5,6767.9,6565.95,3339.2,4811.4,5751.8,4441.2,4562.05,5844.6
8011.05,7764.95,6344.8,9538.9,8780.8,11074.25,11168,5681.55,14773.65,10875.3,11704.65,13950.65,14030,14129.1,17303.35,13900.35,13161.1,12769.15,14057.5,16993.85,16547.25,14940,16925.1,14248,15604.45,15291.95,11978.5,14201.05,13279.55,12827.6,12155.15,13989.1,14082.5,11235.55,12987.1,8916.15,10881.45,11737.75,13370.05,11948.3,11801.3,7317.9,8061.55,10610,8675.2,8286.7,10987.1
13215.65,13978.55,10779.1,15410.5,12631.35,15675.8,13853.65,7092.75,19774,18656.2,16829.2,17617.65,17489.45,18727.15,22876.2,17119.15,18911.9,17013.75,13464.45,19988.3,21190.3,19719.25,21508.5,19496.45,18172.8,18750.05,16932.75,18350,17901.5,15347.8,19156.05,17005.35,15012.5,17180.25,15374.05,14534.8,17034.7,15370.65,19183.5,18040.55,17601.7,12238.5,12708.65,17646.65,10641.05,13167.6,17602.95
4057.4,4524.95,3980.35,4839.5,4020.55,5290.85,5581.65,2427.7,6812.25,5469.15,5646.65,6281.45,6768.25,6530.85,7549.35,6284.35,6755.45,6878.5,5763,7382.95,7263.85,7119,7491.05,5799.2,6951.5,6641.9,6442.4,6586.4,5769.5,5934.95,6064.85,6429.5,5886.95,5066.7,5663.65,4721.3,5135.05,5293.25,6245.35,6276.1,5032.5,3955.6,3899.8,5440.25,4534.2,4314.9,5128.25
3461.7,3739.05,3683.05,4566.2,3930.9,4552.8,4023.45,3041.4,6419.85,5886.6,5931.75,4769.1,6510.25,6635.1,8047.05,6397.05,6925.4,5395.45,5415.65,7015.65,7480.75,7091.3,7966.3,6855.35,6515.65,6854.7,6027.05,6279.3,6301.15,5619.4,6859.65,5870.1,5331.2,6096.75,6098.15,5742,5914.7,5465.5,5829.85,6257.5,6421.35,2940.05,4223.55,5384.9,3438,4054.9,5094.05
3887.9,4700.4,3643.3,5056,4421.3,5420.35,4682.45,2485,7380.8,6780.95,5995.7,6325.3,7126.7,7006.3,8553.8,7163.55,7102.75,6674.5,5833.25,8222.2,8535.45,7826.25,8683.75,7840.3,7231.45,7987.25,6552.4,7360,6919.35,6287.75,7433.6,6973.75,6596.95,6371.45,6505.65,5958.35,5974.05,6345.4,6454.9,6523.05,6732.25,3938.25,4673,5859.5,4341.35,4399.85,5943.15
3336.5,3335.95,3694.1,4492.4,4146.1,4638.35,4288.15,3793.3,6937.7,5973.75,6421.85,4282.25,7359.5,6825.7,8419,7126.9,7026.55,6120.55,5984.8,6825.5,7572.35,7131.7,8673.65,8082.7,7064.75,7893.5,6741.35,7059.6,6859.75,5562,7112.05,6135.95,6320.05,6730.85,5904.8,5887.35,6122.35,5911.3,5824.95,6671,6289.3,3327.45,4222.3,5229.65,3492.8,3883.1,4780.95
