1;114963;125884.09;125884.09;105192.36;108865.49;122575.54;124097.14;99226.21
1;9820.94;9995.23;9995.23;9879.88;10662.5;10669.56;10156.04;12013.81
1;118272.96;95219.76;95219.76;114257.85;105088.82;113672.54;100203.76;101003.3
1;274190;261734.56;261734.56;239023.77;245095.43;277862.56;427261.56;233071.41
1;846533.64;696824.09;696824.09;696149.37;931353.18;936680.67;1069451.21;760710.11
1;658867.96000001;884447.719999994;884447.719999994;818341.059999978;634509.910000007;705567.119999993;661678.480000015;694926.410000024
1;138390.75;133275.94;140112.11;47521.39;45101.05;44918.94;45863.93;44408.8
1;25842.53;26056.18;23512.5;23512.5;23491.52;24262.07;23984.02;23949.07
1;111471.63;124259.38;124259.38;111961.4;110157.34;114517.96;108453.59;101609.36
1;175616.04;267749.21;160349.91;177862.05;169173.95;169990.34;147205.76;124739.46
1;90325.02;118894.07;118894.07;100247.2;127525.35;112807.35;110175.66;90149.11
1;86171.04;91001.39;91001.39;85909.66;84444.98;89743.35;93841.59;89233.68
1;187338.31;102370.32;102370.32;95913.69;168264.24;127294.99;166210.88;115123.22
1;337228.98;318928.34;364696.04;364696.04;427162.17;485540.01;321414.6;581044.72
1;113051.14;128903.38;128903.38;106529.38;163419.84;108241.01;104057.39;109917.8
1;120920.32;99312.57;99312.57;100926.38;116783.25;115427.77;116209.13;112197.49
1;158221.87;173636.99;147905.38;147905.38;170830.75;163415.48;190598.27;174874.42
1;343440.69;262333.38;262333.38;278298.53;353112.25;305613.81;353378.41;437285.54
1;80915.67;77270.68;77270.68;66194.28;74597.67;75042.97;71163.99;63635.5
1;191720.69;157070.02;167519.47;164460.21;170033.1;184702.12;169967.78;182925.44
1;2023572.36;3092813.55;2295860.85;2295860.85;1467234.44;2067664.9;2574560.37;2207540.29
1;203654.97;187783.17;151050.93;151050.93;181396.62;213265.34;205457.46;147078.38
1;190719.05;221127.68;221127.68;186327.78;171335.03;185325.22;173182.97;227372.22
1;113976.23;96311.93;96311.93;90296.66;101098.62;108582.33;101069.83;92483.94
1;38523.02;36365.97;35078.65;36233.87;55761.69;45285.39;37668.07;30796.27
1;215436.4;233081.13;144950.82;122077.62;135813.39;151049.14;165936.57;120095.69
1;92098.51;92229.19;96164.6;96164.6;113932.69;97520.62;113862.61;90845.24
1;263513.29;219239.63;219239.63;244192.12;815435.67;269487.7;202885.54;211352.46
